Hospital_ID,Hospital_Name,Region,City,Latitude,Longitude,Specialties,Services,Disease,Description
1,Black Lion Comprehensive Specialized Hospital,Addis Ababa,Addis Ababa,9.0201364,38.7499589,orthopedics|neurosurgery|general surgery|internal medicine|pediatrics|obstetrics/gynecology|emergency medicine|cardiology|oncology,emergency care|outpatient services|inpatient services|surgical services|diagnostic services,Fungal infection,Fungal infection is a common skin condition caused by fungi.
2,University of Gondar Comprehensive Specialized Hospital,Amhara,Gondar,12.3653,37.2707,gynecology|pediatrics|surgery|internal medicine|psychiatry|HIV care,emergency care|outpatient services|inpatient services|surgical services|diagnostic services|leishmaniasis treatment,Allergy,Allergy is an immune system reaction to a substance in the environment.
3,Jimma University Teaching Hospital,Oromia,Jimma,7.681,36.854,general surgery|internal medicine|pediatrics|gynecology,emergency care|outpatient services|inpatient services|surgical services|diagnostic services,GERD,GERD (Gastroesophageal Reflux Disease) is a digestive disorder that affects the lower esophageal sphincter.
4,Hawassa University Comprehensive Specialized Hospital,Sidama,Hawassa,7.0292,38.2816,cancer treatment|surgery|infectious disease management|pediatrics|gynecology,emergency care|outpatient services|inpatient services|surgical services|chemotherapy|radiotherapy,Chronic cholestasis,Chronic cholestasis is a condition where bile flow from the liver is reduced for a prolonged period.
5,St. Paul's Hospital Millennium Medical College,Addis Ababa,Addis Ababa,9.0301,38.4339,internal medicine|surgery|pediatrics|gynecology|kidney transplantation,emergency care|outpatient services|inpatient services|surgical services|diagnostic services,Drug Reaction,Drug Reaction occurs when the body reacts adversely to a medication.
6,Ayder Comprehensive Specialized Hospital,Tigray,Mekelle,13.497402,39.470737,internal medicine|surgery|pediatrics|gynecology|newborn care|dialysis|cancer treatment,emergency care|outpatient services|inpatient services|surgical services|diagnostic services,Peptic ulcer disease,Peptic ulcer disease involves sores that develop on the inner lining of the stomach and small intestine.
7,Adama General Hospital & Medical College,Oromia,Adama,8.3341,39.1659,surgery|orthopedics|gynecology/obstetrics|internal medicine|pediatrics|ophthalmology|dermatology|psychiatry|dental|neurology|radiology|ART|MDR-TB,emergency care|outpatient services|inpatient services|surgical services|diagnostic services,AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.
8,Wolaita Sodo University Teaching Referral Hospital,South Ethiopia Regional State,Wolaita Sodo,6.5137,37.4646,general surgery|internal medicine|pediatrics|gynecology,emergency care|outpatient services|inpatient services|surgical services|diagnostic services,Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.
9,Haramaya University Hiwot Fana Comprehensive Specialized Hospital,Harari,Harar,9.182,42.0745,internal medicine|general surgery|neurosurgery|pediatric surgery|urology|plastic surgery|orthopedic surgery|gynecology/obstetrics|pediatrics|neurology|pediatric cardiology,emergency care|outpatient services|inpatient services|surgical services|diagnostic services|dialysis|mental health care|reproductive health|oncology|ophthalmic care|ENT|pathology|pharmacy|dental care|TB/HIV services|neonatal intensive care|dermatology|maternal/child health,Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria."
10,Debre Birhan Comprehensive Specialized Hospital,Amhara,Debre Birhan,9.4045,39.3207,general surgery|internal medicine|pediatrics|gynecology,emergency care|outpatient services|inpatient services|surgical services|diagnostic services,Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.
