Hospital_Name,Country,Region,City,Latitude,Longitude,Hospital_Type,Specializations
Massachusetts General Hospital,United States,Massachusetts,Boston,42.3609,-71.0704,General,"Cardiology, Oncology, Neurology"
Black Lion Specialized Hospital,Ethiopia,Addis Ababa,Addis Ababa,9.0054,38.7636,Specialized,"General, Internal Medicine, Surgery"
The Royal London Hospital,United Kingdom,England,London,51.5195,-0.0575,General,"Emergency Medicine, Cardiology, Trauma"
Tokyo University Hospital,Japan,Tokyo,Bunkyo,35.7139,139.7632,Teaching,"Comprehensive, Research"
Groote Schuur Hospital,South Africa,Western Cape,Cape Town,-33.9653,18.4763,Teaching,"General, Specialist Services"
Centre Hospitalier Universitaire de Lille,France,Hauts-de-France,Lille,50.6278,3.0647,Teaching,Comprehensive
Toronto General Hospital,Canada,Ontario,Toronto,43.6598,-79.3868,Teaching,"Cardiology, Transplantation, Surgery"
Charit� � Universit�tsmedizin Berlin,Germany,Berlin,Berlin,52.52,13.405,Teaching,"Comprehensive, Research"
All India Institute of Medical Sciences (AIIMS),India,Delhi,New Delhi,28.57,77.21,Teaching,"Comprehensive, Specialized Centers"
Hospital Israelita Albert Einstein,Brazil,S�o Paulo,S�o Paulo,-23.5627,-46.6546,Private,"High Complexity, Research"
Mayo Clinic,United States,Minnesota,Rochester,44.0283,-92.4618,Non-profit,"Comprehensive, Research"
Sheba Medical Center,Israel,Tel Aviv District,Ramat Gan,32.0637,34.843,Public,"Comprehensive, Research"
National University Hospital,Singapore,Kent Ridge,Singapore,1.2951,103.7824,Public,Comprehensive
Seoul National University Hospital,South Korea,Seoul,Jongno-gu,37.5908,127.003,Teaching,Comprehensive
Karolinska University Hospital,Sweden,Stockholm,Solna,59.3535,18.005,Teaching,"Comprehensive, Research"
The Mater Hospital,Ireland,Dublin,Dublin,53.3593,-6.2638,Public,"General, Specialist Services"
West China Medical Center of Sichuan University,China,Sichuan,Chengdu,30.6578,104.0669,Teaching,Comprehensive
Hospital Cl�nic de Barcelona,Spain,Catalonia,Barcelona,41.3869,2.1458,Public,"Comprehensive, Research"
The Alfred Hospital,Australia,Victoria,Melbourne,-37.8437,145.0008,Public,"Trauma, Specialist Services"
University of Alberta Hospital,Canada,Alberta,Edmonton,53.527,-113.5257,Teaching,"Comprehensive, Research"
Cleveland Clinic,United States,Ohio,Cleveland,41.5052,-81.61,Non-profit,"Comprehensive, Research"
Aga Khan University Hospital,Pakistan,Sindh,Karachi,24.9319,67.0679,Private,"Comprehensive, Teaching"
H�pital Europ�en Georges-Pompidou,France,�le-de-France,Paris,48.8415,2.277,Public,"General, Specialized"
Kyoto University Hospital,Japan,Kyoto,Sakyo-ku,35.0273,135.7818,Teaching,"Comprehensive, Research"
Chris Hani Baragwanath Academic Hospital,South Africa,Gauteng,Johannesburg,-26.2783,27.9288,Public,"General, Teaching"
